matchupnumber,team1,team2,weeknumber
0,0,6,4.1
1,1,4,4.1
2,2,7,4.1
3,3,5,4.1
4,8,9,4.1
5,0,8,5.1
6,1,3,5.1
7,2,9,5.1
8,6,4,5.1
9,7,5,5.1
10,0,2,6.1
11,1,7,6.1
12,6,8,6.1
13,3,4,6.1
14,5,9,6.1
15,0,5,7.1
16,1,9,7.1
17,2,8,7.1
18,6,3,7.1
19,7,4,7.1
20,0,1,8.1
21,2,4,8.1
22,3,7,8.1
23,5,8,8.1
24,4,9,8.1
25,0,4,9.1
26,1,8,9.1
27,2,5,9.1
28,6,7,9.1
29,3,9,9.1
30,0,3,10.1
31,1,2,10.1
32,6,5,10.1
33,7,9,10.1
34,4,8,10.1
35,0,7,11.1
36,1,5,11.1
37,2,4,11.1
38,6,9,11.1
39,3,8,11.1
40,0,9,12.1
41,1,6,12.1
42,2,3,12.1
43,7,8,12.1
44,5,4,12.1
45,0,6,13.1
46,1,4,13.1
47,2,7,13.1
48,3,5,13.1
49,8,9,13.1
50,0,2,1.2
51,1,6,1.2
52,3,9,1.2
53,7,4,1.2
54,5,8,1.2
55,10,11,1.2
56,0,4,2.2
57,1,5,2.2
58,2,7,2.2
59,6,3,2.2
60,8,10,2.2
61,9,11,2.2
62,0,7,3.2
63,1,3,3.2
64,2,4,3.2
65,6,5,3.2
66,8,11,3.2
67,9,10,3.2
68,0,11,4.2
69,1,4,4.2
70,2,9,4.2
71,6,8,4.2
72,3,7,4.2
73,7,10,4.2
74,0,9,5.2
75,1,7,5.2
76,2,11,5.2
77,6,10,5.2
78,3,8,5.2
79,5,4,5.2
80,0,1,6.2
81,2,8,6.2
82,6,11,6.2
83,3,10,6.2
84,7,5,6.2
85,4,9,6.2
86,0,5,7.2
87,1,2,7.2
88,6,9,7.2
89,3,11,7.2
90,7,8,7.2
91,4,10,7.2
92,0,8,8.2
93,1,11,8.2
94,2,10,8.2
95,6,7,8.2
96,3,4,8.2
97,5,9,8.2
98,0,6,9.2
99,1,10,9.2
100,2,5,9.2
101,3,7,9.2
102,4,11,9.2
103,8,9,9.2
104,0,3,10.2
105,1,9,10.2
106,2,6,10.2
107,7,11,10.2
108,5,10,10.2
109,4,8,10.2
110,0,10,11.2
111,1,8,11.2
112,2,3,11.2
113,6,4,11.2
114,7,9,11.2
115,5,11,11.2
116,0,2,12.2
117,1,6,12.2
118,3,9,12.2
119,7,4,12.2
120,5,8,12.2
121,11,10,12.2
122,0,4,13.2
123,1,5,13.2
124,2,7,13.2
125,6,3,13.2
126,8,10,13.2
127,9,11,13.2
128,0,5,1.3
129,1,6,1.3
130,2,7,1.3
131,3,8,1.3
132,4,12,1.3
133,0,12,2.3
134,1,8,2.3
135,2,6,2.3
136,3,5,2.3
137,7,4,2.3
138,0,4,3.3
139,1,7,3.3
140,2,12,3.3
141,6,3,3.3
142,5,8,3.3
143,0,7,4.3
144,1,5,4.3
145,2,4,4.3
146,6,8,4.3
147,3,12,4.3
148,0,2,5.3
149,1,3,5.3
150,6,5,5.3
151,7,12,5.3
152,4,8,5.3
153,0,6,6.3
154,1,12,6.3
155,2,5,6.3
156,3,4,6.3
157,7,8,6.3
158,0,3,7.3
159,1,4,7.3
160,2,8,7.3
161,6,12,7.3
162,7,5,7.3
163,0,8,8.3
164,1,2,8.3
165,6,4,8.3
166,3,7,8.3
167,5,12,8.3
168,0,1,9.3
169,2,3,9.3
170,6,7,9.3
171,5,4,9.3
172,8,12,9.3
173,0,5,10.3
174,1,6,10.3
175,2,7,10.3
176,3,8,10.3
177,4,12,10.3
178,0,12,11.3
179,1,8,11.3
180,2,6,11.3
181,3,5,11.3
182,4,7,11.3
183,0,4,12.3
184,1,7,12.3
185,2,12,12.3
186,6,3,12.3
187,5,8,12.3
188,0,7,13.3
189,1,5,13.3
190,2,4,13.3
191,6,8,13.3
192,3,12,13.3
